subject;object;semantic_closeness
капельница;церемония;0.9969215393066406
капельница;полёт;0.9965041875839233
капельница;турнир;0.996025800704956
капельница;шляпа;0.9958333969116211
капельница;хогвартс;0.995460569858551
капельница;тетерев;0.9953812956809998
капельница;бессонница;0.9952060580253601
капельница;магический;0.9949731826782227
капельница;самец;0.994793713092804
капельница;вердикт;0.9942747950553894
капельница;ягода;0.9940905570983887
капельница;шлак;0.9940820336341858
шляпа;турнир;0.99767005443573
шляпа;церемония;0.9975153803825378
шляпа;хогвартс;0.9971269369125366
шляпа;магический;0.9967754483222961
шляпа;полёт;0.9966471195220947
шляпа;квиддич;0.9964161515235901
шляпа;ошейник;0.9959273338317871
шляпа;капельница;0.9958334565162659
шляпа;вердикт;0.9951984882354736
шляпа;тетерев;0.9949495792388916
шляпа;венера;0.9949265718460083
шляпа;лабиринт;0.9946828484535217
полёт;церемония;0.9973849058151245
полёт;ягода;0.9969411492347717
полёт;турнир;0.9966474771499634
полёт;шляпа;0.9966471195220947
полёт;капельница;0.9965043663978577
полёт;цапля;0.9964247345924377
полёт;вердикт;0.9962210655212402
полёт;ошейник;0.9960355162620544
полёт;хогвартс;0.995550274848938
полёт;джинсы;0.9953197240829468
полёт;катер;0.9951462745666504
полёт;тетерев;0.9950752854347229
цапля;москвичка;0.9965915083885193
цапля;полёт;0.9964247345924377
цапля;ягода;0.9956082701683044
цапля;церемония;0.9941647052764893
цапля;катер;0.9940938949584961
цапля;вердикт;0.9940201044082642
цапля;капельница;0.9939143061637878
цапля;кличка;0.9937844276428223
цапля;мыльный;0.9936000108718872
цапля;джинсы;0.9934446215629578
цапля;луна;0.9932635426521301
цапля;нерпа;0.9931853413581848
капельница;церемония;0.9969215393066406
капельница;полёт;0.9965041875839233
капельница;турнир;0.996025800704956
капельница;шляпа;0.9958333969116211
капельница;хогвартс;0.995460569858551
капельница;тетерев;0.9953812956809998
капельница;бессонница;0.9952060580253601
капельница;магический;0.9949731826782227
капельница;самец;0.994793713092804
капельница;вердикт;0.9942747950553894
капельница;ягода;0.9940905570983887
капельница;шлак;0.9940820336341858
магический;турнир;0.9979742765426636
магический;хогвартс;0.9972511529922485
магический;квиддич;0.9972436428070068
магический;шляпа;0.9967755079269409
магический;дружелюбный;0.9963283538818359
магический;бессонница;0.9960384368896484
магический;подпитать;0.9955980777740479
магический;шлак;0.9951905012130737
магический;капельница;0.9949733018875122
магический;церемония;0.9948298335075378
магический;венера;0.9947892427444458
магический;полёт;0.9942683577537537
капельница;церемония;0.9969215393066406
капельница;полёт;0.9965041875839233
капельница;турнир;0.996025800704956
капельница;шляпа;0.9958333969116211
капельница;хогвартс;0.995460569858551
капельница;тетерев;0.9953812956809998
капельница;бессонница;0.9952060580253601
капельница;магический;0.9949731826782227
капельница;самец;0.994793713092804
капельница;вердикт;0.9942747950553894
капельница;ягода;0.9940905570983887
капельница;шлак;0.9940820336341858
вердикт;полёт;0.996221125125885
вердикт;турнир;0.9957063794136047
вердикт;шляпа;0.9951985478401184
вердикт;церемония;0.995197057723999
вердикт;ягода;0.9946827292442322
вердикт;ошейник;0.9943802952766418
вердикт;хогвартс;0.9943419098854065
вердикт;капельница;0.9942747354507446
вердикт;джинсы;0.9940952062606812
вердикт;цапля;0.9940201044082642
вердикт;чип;0.9938908815383911
вердикт;ворона;0.9935768842697144
чип;турнир;0.9961249828338623
чип;хогвартс;0.9947565197944641
чип;бессонница;0.9946931004524231
чип;хищник;0.9940203428268433
чип;вердикт;0.9938908219337463
чип;шляпа;0.9938245415687561
чип;взрывной;0.993821382522583
чип;подпитать;0.993818461894989
чип;магический;0.9936304688453674
чип;полёт;0.9935654401779175
чип;шлак;0.993532121181488
чип;яркий;0.9933722019195557
яркий;москвичка;0.9934796690940857
яркий;чип;0.99337238073349
яркий;воровка;0.9928430914878845
яркий;кличка;0.9919810891151428
яркий;направиться;0.9917531609535217
яркий;джинсы;0.9913310408592224
яркий;цапля;0.9913111925125122
яркий;мыльный;0.9912768602371216
яркий;турнир;0.9911657571792603
яркий;ягода;0.9910439848899841
яркий;словесный;0.9909955263137817
яркий;наброситься;0.9906518459320068
